COUNTRY;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;X12;X13;X14
Austria;90;17;89;90;10;62;70;20;3,13;52794;1,8591;1,56;6,2;51,1
Belgium;90;18;88;93;7;66;59;30;3,16;60619;1,8527;1,34;4,6;54,6
Bulgaria;75;24;75;76;24;22;25;7;0,83;16940;0,8071;0,63;4,2;36,6
Croatia;81;37;81;82;18;45;33;22;1,08;8820;0,8197;1,65;3,5;40,1
Cyprus;90;49;89;87;13;39;50;13;0,71;1452;0,4876;0,91;0,8;52,5
Czech Republic;87;12;87;91;9;64;54;29;1,93;42500;1,5068;1,51;11,5;39,8
Denmark;95;7;93;98;2;84;92;34;2,93;44671;2,1239;1,8;4,6;58,4
Estonia;90;5;90;93;7;68;80;18;1,63;4995;0,9644;1,6;4,2;51,9
Finland;94;30;93;97;3;73;87;23;2,8;39984;1,9527;1,57;4,7;59,9
France;90;35;83;93;7;70;75;16;2,19;313374;1,5673;1,13;4,2;53,5
Greece;79;11;78;78;22;39;52;9;1,28;39077;1,1631;1,47;1,6;39,3
Spain;91;26;91;92;8;58;58;19;1,25;143974;1,0148;1,24;4;46,5
Netherlands;98;28;98;98;2;81;81;21;2,18;97713;1,7307;1,65;2,8;58,7
Ireland;91;10;90;91;9;67;61;36;1,23;23537;1,366;0,93;3,6;58
Lithuania;82;17;81;85;15;48;55;24;0,99;9630;0,9179;0,9;2,4;51,9
Luxembourg;95;12;95;97;3;72;60;9;1,18;3126;1,9046;1,43;0,8;63,7
Latvia;85;19;83;88;12;47;70;11;0,64;3632;0,637;0,59;1,7;46,8
Malta;86;24;86;87;13;58;50;23;0,57;939;0,6129;0,6;3,4;47,4
Germany;95;29;94;95;5;79;59;18;3,17;450697;1,7602;2,18;9,9;50,3
Poland;87;15;83;85;15;54;40;14;1,32;120780;0,9946;1,06;5,8;46
Portugal;81;53;78;78;22;39;41;16;1,4;50166;1,2423;0,82;3,3;38,3
Romania;84;18;82;82;18;23;12;12;0,48;17350;0,3914;0,53;6,5;28,2
Slovakia;82;17;80;88;12;60;59;12;0,83;16977;0,7627;0,94;10,9;38,1
Slovenia;89;19;89;87;13;56;53;18;2,05;10507;1,6865;1,05;10,3;48,2
Sweden;96;17;95;98;2;82;86;31;3,39;78629;1,7523;1,49;4,2;60,7
Hungary;86;43;86;86;14;49;53;13;1,48;39295;1,2049;0,59;9,7;38,2
United Kingdom;96;38;96;97;3;87;63;25;1,76;317472;1,4897;1,36;3,7;59,1
Italy;85;14;84;82;17;38;23;10;1,46;160824;1,4252;1,13;6,3;37,3
